SR,CR,MD,EPE,Smooth,ST,scenario,method,episode
0.7468767151845646,0.20339284706046185,0.25844091466117286,0.3749821032670225,0.7123556889172602,0.1323639474319579,Dense-Static,R2,15
0.7512794872113394,0.18471526541174116,0.25405532019995364,0.3806633037374592,0.6976450512675936,0.14378631391537317,Dense-Static,R2,16
0.7527626589002132,0.18145371921193493,0.2662390111132636,0.39145311289572093,0.7203719046822787,0.16886638929781608,Dense-Static,R2,17
0.7507942844380621,0.22190202357414224,0.2586510785339173,0.38160517982454867,0.7144269784320407,0.15623391440861611,Dense-Static,R2,18
0.7522100326268215,0.1965953499102162,0.2542225145801948,0.37595968444945776,0.7039671057306288,0.14756147721394483,Dense-Static,R2,19
0.8576405234596766,0.14400157208367223,0.3297873798410574,0.3624089319920146,0.7586755799014997,0.16022722120123586,Dense-Static,R3,0
0.8562434536366323,0.13388243586349924,0.31471828247736544,0.3292703137784383,0.7486540762932468,0.14698461303119714,Dense-Static,R3,1
0.8358324215259453,0.1394373317277367,0.2986380390433155,0.3564027080840499,0.7220656441480514,0.16158252634343795,Dense-Static,R3,2
0.8578862847343032,0.1443650985051199,0.3209649746807201,0.32136507296635514,0.737226117974856,0.1664524102073101,Dense-Static,R3,3
0.8405056170714293,0.1449995133323783,0.31004091068893136,0.3469359850829131,0.7358169847997309,0.15415422764887873,Dense-Static,R3,4
0.8444122748688504,0.13669129848105913,0.3443077118700778,0.33747907870396926,0.7410960984157818,0.1858248111706156,Dense-Static,R3,5
0.8368821632651248,0.14729003923612505,0.32217820788076,0.3310090820345286,0.7151321934837214,0.17913251521235887,Dense-Static,R3,6
0.8569052570380036,0.13534062629459168,0.3203282016367858,0.3440751628299651,0.7321107697137426,0.17002065572905947,Dense-Static,R3,7
0.8409120471661982,0.1509128273327211,0.30053029690977456,0.3261365046776306,0.7170350842579784,0.1940983430334154,Dense-Static,R3,8
0.8400110855471221,0.13710455930749801,0.30883933696935584,0.33987117243254206,0.7362163853579208,0.16518864637123096,Dense-Static,R3,9
0.8533158650412952,0.14715278974398405,0.3045459970788873,0.3399161615007148,0.7462133597389048,0.162799144392811,Dense-Static,R3,10
0.8574945474130518,0.13713927003183707,0.3151543486777886,0.3134668144073852,0.7399171537062706,0.166803686362357,Dense-Static,R3,11
0.8447298583148998,0.13318574120560556,0.3224243949669048,0.3229926436596167,0.747531428339492,0.15465278659791953,Dense-Static,R3,12
0.8328760933794941,0.14753766378659702,0.31955496921661947,0.3445181233874579,0.7534510170845101,0.17532337888294544,Dense-Static,R3,13
0.8555133911125306,0.1407918602460882,0.3217397652845617,0.33927663433833827,0.7199567059982781,0.17144677813190315,Dense-Static,R3,14
0.8368767151845645,0.14339284706046185,0.31844091466117286,0.33498210326702255,0.7423556889172602,0.15236394743195789,Dense-Static,R3,15
0.8412794872113394,0.12471526541174116,0.31405532019995364,0.34066330373745923,0.7276450512675936,0.16378631391537316,Dense-Static,R3,16
0.8427626589002132,0.12145371921193494,0.3262390111132636,0.35145311289572095,0.7503719046822788,0.18886638929781607,Dense-Static,R3,17
0.840794284438062,0.1619020235741422,0.3186510785339173,0.3416051798245487,0.7444269784320408,0.1762339144086161,Dense-Static,R3,18
0.8422100326268215,0.1365953499102162,0.3142225145801948,0.3359596844494578,0.7339671057306288,0.16756147721394482,Dense-Static,R3,19
0.8976405234596766,0.09400157208367221,0.4197873798410574,0.31240893199201464,0.8086755799014997,0.1902272212012359,Dense-Static,R4,0
0.8962434536366324,0.08388243586349922,0.40471828247736547,0.2792703137784383,0.7986540762932468,0.17698461303119717,Dense-Static,R4,1
0.8758324215259453,0.08943733172773669,0.3886380390433155,0.3064027080840499,0.7720656441480515,0.19158252634343798,Dense-Static,R4,2
0.8978862847343032,0.09436509850511987,0.41096497468072013,0.27136507296635515,0.7872261179748561,0.19645241020731014,Dense-Static,R4,3
0.8805056170714294,0.09499951333237827,0.4000409106889314,0.29693598508291313,0.7858169847997309,0.18415422764887876,Dense-Static,R4,4
0.8844122748688504,0.08669129848105911,0.43430771187007783,0.28747907870396927,0.7910960984157819,0.21582481117061564,Dense-Static,R4,5
0.8768821632651248,0.09729003923612503,0.41217820788076004,0.2810090820345286,0.7651321934837214,0.2091325152123589,Dense-Static,R4,6
0.8969052570380036,0.08534062629459166,0.41032820163678585,0.2940751628299651,0.7821107697137426,0.2000206557290595,Dense-Static,R4,7
0.8809120471661982,0.10091282733272108,0.3905302969097746,0.2761365046776306,0.7670350842579784,0.22409834303341541,Dense-Static,R4,8
0.8800110855471222,0.087104559307498,0.39883933696935586,0.28987117243254207,0.7862163853579208,0.19518864637123098,Dense-Static,R4,9
0.8933158650412952,0.09715278974398403,0.3945459970788873,0.2899161615007148,0.7962133597389048,0.19279914439281104,Dense-Static,R4,10
0.8974945474130518,0.08713927003183704,0.4051543486777886,0.26346681440738523,0.7899171537062707,0.19680368636235704,Dense-Static,R4,11
0.8847298583148998,0.08318574120560554,0.4124243949669048,0.27299264365961673,0.7975314283394921,0.18465278659791956,Dense-Static,R4,12
0.8728760933794941,0.097537663786597,0.4095549692166195,0.2945181233874579,0.8034510170845102,0.20532337888294547,Dense-Static,R4,13
0.8955133911125306,0.09079186024608821,0.41173976528456174,0.2892766343383383,0.7699567059982781,0.20144677813190318,Dense-Static,R4,14
0.8768767151845646,0.09339284706046183,0.4084409146611729,0.28498210326702256,0.7923556889172603,0.1823639474319579,Dense-Static,R4,15
0.8812794872113394,0.07471526541174114,0.40405532019995366,0.29066330373745924,0.7776450512675936,0.19378631391537318,Dense-Static,R4,16
0.8827626589002132,0.07145371921193493,0.4162390111132636,0.30145311289572096,0.8003719046822788,0.2188663892978161,Dense-Static,R4,17
0.8807942844380621,0.1119020235741422,0.4086510785339173,0.2916051798245487,0.7944269784320408,0.20623391440861613,Dense-Static,R4,18
0.8822100326268215,0.08659534991021617,0.4042225145801948,0.2859596844494578,0.7839671057306289,0.19756147721394485,Dense-Static,R4,19
0.9076405234596765,0.0840015720836722,0.42978737984105736,0.30240893199201463,0.8286755799014998,0.21022722120123588,Dense-Static,R5,0
0.9062434536366323,0.07388243586349921,0.4147182824773654,0.2692703137784383,0.8186540762932468,0.1969846130311972,Dense-Static,R5,1
0.8858324215259452,0.07943733172773668,0.39863803904331546,0.2964027080840499,0.7920656441480515,0.21158252634343797,Dense-Static,R5,2
0.9078862847343031,0.08436509850511986,0.4209649746807201,0.26136507296635514,0.8072261179748561,0.21645241020731013,Dense-Static,R5,3
0.8905056170714293,0.08499951333237826,0.41004091068893134,0.2869359850829131,0.805816984799731,0.20415422764887875,Dense-Static,R5,4
0.8944122748688503,0.0766912984810591,0.4443077118700778,0.27747907870396926,0.8110960984157819,0.23582481117061563,Dense-Static,R5,5
0.8868821632651247,0.08729003923612502,0.42217820788076,0.2710090820345286,0.7851321934837214,0.2291325152123589,Dense-Static,R5,6
0.9069052570380035,0.07534062629459165,0.4203282016367858,0.2840751628299651,0.8021107697137426,0.2200206557290595,Dense-Static,R5,7
0.8909120471661981,0.09091282733272107,0.40053029690977454,0.2661365046776306,0.7870350842579784,0.2440983430334154,Dense-Static,R5,8
0.890011085547122,0.07710455930749799,0.4088393369693558,0.27987117243254206,0.8062163853579208,0.21518864637123097,Dense-Static,R5,9
0.9033158650412951,0.08715278974398402,0.4045459970788873,0.2799161615007148,0.8162133597389049,0.21279914439281103,Dense-Static,R5,10
0.9074945474130517,0.07713927003183703,0.41515434867778855,0.2534668144073852,0.8099171537062707,0.21680368636235703,Dense-Static,R5,11
0.8947298583148997,0.07318574120560553,0.42242439496690476,0.2629926436596167,0.8175314283394921,0.20465278659791955,Dense-Static,R5,12
0.882876093379494,0.087537663786597,0.41955496921661944,0.2845181233874579,0.8234510170845102,0.22532337888294546,Dense-Static,R5,13
0.9055133911125305,0.08079186024608818,0.4217397652845617,0.27927663433833827,0.7899567059982782,0.22144677813190317,Dense-Static,R5,14
0.8868767151845645,0.08339284706046182,0.41844091466117284,0.27498210326702255,0.8123556889172603,0.2023639474319579,Dense-Static,R5,15
0.8912794872113393,0.06471526541174114,0.4140553201999536,0.28066330373745924,0.7976450512675937,0.21378631391537317,Dense-Static,R5,16
0.8927626589002131,0.06145371921193492,0.42623901111326357,0.29145311289572096,0.8203719046822788,0.2388663892978161,Dense-Static,R5,17
0.890794284438062,0.10190202357414219,0.41865107853391725,0.2816051798245487,0.8144269784320408,0.22623391440861612,Dense-Static,R5,18
0.8922100326268214,0.07659534991021616,0.41422251458019477,0.2759596844494578,0.8039671057306289,0.21756147721394484,Dense-Static,R5,19
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,0
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,1
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,2
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,3
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,4
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,5
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,6
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,7
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,8
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,9
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,10
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,11
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,12
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,13
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,14
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,15
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,16
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,17
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,18
0.65,0.32999999999999996,0.18,0.45,0.61,0.09,Dynamic-Ped,R0,19
0.7376405234596766,0.25400157208367224,0.2197873798410574,0.44240893199201464,0.6586755799014997,0.11022722120123589,Dynamic-Ped,R1,0
0.7362434536366324,0.24388243586349923,0.20471828247736543,0.4092703137784383,0.6486540762932468,0.09698461303119717,Dynamic-Ped,R1,1
0.7158324215259453,0.2494373317277367,0.18863803904331544,0.4364027080840499,0.6220656441480514,0.11158252634343796,Dynamic-Ped,R1,2
0.7378862847343032,0.2543650985051199,0.2109649746807201,0.40136507296635515,0.6372261179748561,0.11645241020731013,Dynamic-Ped,R1,3
0.7205056170714293,0.25499951333237825,0.20004091068893134,0.42693598508291314,0.6358169847997309,0.10415422764887876,Dynamic-Ped,R1,4
0.7244122748688504,0.24669129848105908,0.2343077118700778,0.4174790787039693,0.6410960984157819,0.13582481117061562,Dynamic-Ped,R1,5
0.7168821632651248,0.25729003923612503,0.21217820788076,0.41100908203452863,0.6151321934837214,0.12913251521235888,Dynamic-Ped,R1,6
0.7369052570380036,0.24534062629459163,0.21032820163678584,0.4240751628299651,0.6321107697137426,0.12002065572905948,Dynamic-Ped,R1,7
0.7209120471661982,0.2609128273327211,0.19053029690977452,0.4061365046776306,0.6170350842579784,0.1440983430334154,Dynamic-Ped,R1,8
0.7200110855471221,0.24710455930749797,0.19883933696935585,0.4198711724325421,0.6362163853579208,0.11518864637123095,Dynamic-Ped,R1,9
0.7333158650412952,0.25715278974398403,0.1945459970788873,0.4199161615007148,0.6462133597389048,0.11279914439281102,Dynamic-Ped,R1,10
0.7374945474130518,0.24713927003183703,0.20515434867778856,0.39346681440738523,0.6399171537062707,0.11680368636235701,Dynamic-Ped,R1,11
0.7247298583148998,0.24318574120560552,0.21242439496690477,0.40299264365961673,0.6475314283394921,0.10465278659791956,Dynamic-Ped,R1,12
0.7128760933794941,0.25753766378659704,0.20955496921661945,0.4245181233874579,0.6534510170845101,0.12532337888294545,Dynamic-Ped,R1,13
0.7355133911125306,0.2507918602460882,0.2117397652845617,0.4192766343383383,0.6199567059982781,0.12144677813190316,Dynamic-Ped,R1,14
0.7168767151845645,0.25339284706046183,0.20844091466117287,0.41498210326702256,0.6423556889172602,0.1023639474319579,Dynamic-Ped,R1,15
0.7212794872113394,0.23471526541174112,0.2040553201999536,0.42066330373745925,0.6276450512675936,0.11378631391537317,Dynamic-Ped,R1,16
0.7227626589002132,0.23145371921193492,0.21623901111326355,0.43145311289572097,0.6503719046822788,0.13886638929781608,Dynamic-Ped,R1,17
0.720794284438062,0.27190202357414217,0.2086510785339173,0.4216051798245487,0.6444269784320408,0.12623391440861612,Dynamic-Ped,R1,18
0.7222100326268215,0.24659534991021617,0.20422251458019477,0.4159596844494578,0.6339671057306289,0.11756147721394482,Dynamic-Ped,R1,19
0.8176405234596766,0.18400157208367224,0.2697873798410574,0.4024089319920146,0.7286755799014997,0.14022722120123587,Dynamic-Ped,R2,0
0.8162434536366324,0.17388243586349925,0.25471828247736544,0.3692703137784383,0.7186540762932467,0.12698461303119718,Dynamic-Ped,R2,1
0.7958324215259454,0.1794373317277367,0.23863803904331546,0.39640270808404987,0.6920656441480514,0.14158252634343796,Dynamic-Ped,R2,2
0.8178862847343032,0.1843650985051199,0.2609649746807201,0.3613650729663551,0.707226117974856,0.14645241020731012,Dynamic-Ped,R2,3
0.8005056170714294,0.1849995133323783,0.25004091068893136,0.3869359850829131,0.7058169847997309,0.13415422764887874,Dynamic-Ped,R2,4
0.8044122748688505,0.1766912984810591,0.2843077118700778,0.37747907870396924,0.7110960984157818,0.16582481117061562,Dynamic-Ped,R2,5
0.7968821632651248,0.18729003923612503,0.26217820788076,0.3710090820345286,0.6851321934837213,0.15913251521235888,Dynamic-Ped,R2,6
0.8169052570380037,0.17534062629459166,0.2603282016367858,0.38407516282996507,0.7021107697137425,0.15002065572905948,Dynamic-Ped,R2,7
0.8009120471661982,0.1909128273327211,0.24053029690977454,0.3661365046776306,0.6870350842579783,0.1740983430334154,Dynamic-Ped,R2,8
0.8000110855471222,0.177104559307498,0.24883933696935587,0.37987117243254204,0.7062163853579208,0.14518864637123097,Dynamic-Ped,R2,9
0.8133158650412953,0.18715278974398405,0.24454599707888733,0.3799161615007148,0.7162133597389048,0.14279914439281102,Dynamic-Ped,R2,10
0.8174945474130518,0.17713927003183705,0.2551543486777886,0.3534668144073852,0.7099171537062706,0.14680368636235702,Dynamic-Ped,R2,11
0.8047298583148998,0.17318574120560554,0.2624243949669048,0.3629926436596167,0.717531428339492,0.13465278659791954,Dynamic-Ped,R2,12
0.7928760933794942,0.18753766378659703,0.25955496921661947,0.3845181233874579,0.7234510170845101,0.15532337888294545,Dynamic-Ped,R2,13
0.8155133911125306,0.1807918602460882,0.2617397652845617,0.37927663433833825,0.6899567059982781,0.15144677813190316,Dynamic-Ped,R2,14
0.7968767151845646,0.18339284706046183,0.25844091466117286,0.3749821032670225,0.7123556889172602,0.1323639474319579,Dynamic-Ped,R2,15
0.8012794872113395,0.16471526541174114,0.25405532019995364,0.3806633037374592,0.6976450512675936,0.14378631391537317,Dynamic-Ped,R2,16
0.8027626589002133,0.16145371921193494,0.2662390111132636,0.39145311289572093,0.7203719046822787,0.16886638929781608,Dynamic-Ped,R2,17
0.8007942844380621,0.20190202357414222,0.2586510785339173,0.38160517982454867,0.7144269784320407,0.15623391440861611,Dynamic-Ped,R2,18
0.8022100326268216,0.1765953499102162,0.2542225145801948,0.37595968444945776,0.7039671057306288,0.14756147721394483,Dynamic-Ped,R2,19
0.9076405234596766,0.12400157208367223,0.3297873798410574,0.3624089319920146,0.7586755799014997,0.16022722120123586,Dynamic-Ped,R3,0
0.9062434536366324,0.11388243586349925,0.31471828247736544,0.3292703137784383,0.7486540762932468,0.14698461303119714,Dynamic-Ped,R3,1
0.8858324215259453,0.1194373317277367,0.2986380390433155,0.3564027080840499,0.7220656441480514,0.16158252634343795,Dynamic-Ped,R3,2
0.9078862847343032,0.12436509850511988,0.3209649746807201,0.32136507296635514,0.737226117974856,0.1664524102073101,Dynamic-Ped,R3,3
0.8905056170714294,0.12499951333237828,0.31004091068893136,0.3469359850829131,0.7358169847997309,0.15415422764887873,Dynamic-Ped,R3,4
0.8944122748688504,0.11669129848105912,0.3443077118700778,0.33747907870396926,0.7410960984157818,0.1858248111706156,Dynamic-Ped,R3,5
0.8868821632651248,0.12729003923612503,0.32217820788076,0.3310090820345286,0.7151321934837214,0.17913251521235887,Dynamic-Ped,R3,6
0.9069052570380036,0.11534062629459167,0.3203282016367858,0.3440751628299651,0.7321107697137426,0.17002065572905947,Dynamic-Ped,R3,7
0.8909120471661982,0.13091282733272108,0.30053029690977456,0.3261365046776306,0.7170350842579784,0.1940983430334154,Dynamic-Ped,R3,8
0.8900110855471222,0.11710455930749801,0.30883933696935584,0.33987117243254206,0.7362163853579208,0.16518864637123096,Dynamic-Ped,R3,9
0.9033158650412952,0.12715278974398406,0.3045459970788873,0.3399161615007148,0.7462133597389048,0.162799144392811,Dynamic-Ped,R3,10
0.9074945474130518,0.11713927003183705,0.3151543486777886,0.3134668144073852,0.7399171537062706,0.166803686362357,Dynamic-Ped,R3,11
0.8947298583148998,0.11318574120560554,0.3224243949669048,0.3229926436596167,0.747531428339492,0.15465278659791953,Dynamic-Ped,R3,12
0.8828760933794941,0.12753766378659703,0.31955496921661947,0.3445181233874579,0.7534510170845101,0.17532337888294544,Dynamic-Ped,R3,13
0.9055133911125306,0.1207918602460882,0.3217397652845617,0.33927663433833827,0.7199567059982781,0.17144677813190315,Dynamic-Ped,R3,14
0.8868767151845646,0.12339284706046184,0.31844091466117286,0.33498210326702255,0.7423556889172602,0.15236394743195789,Dynamic-Ped,R3,15
0.8912794872113394,0.10471526541174116,0.31405532019995364,0.34066330373745923,0.7276450512675936,0.16378631391537316,Dynamic-Ped,R3,16
0.8927626589002132,0.10145371921193494,0.3262390111132636,0.35145311289572095,0.7503719046822788,0.18886638929781607,Dynamic-Ped,R3,17
0.8907942844380621,0.14190202357414222,0.3186510785339173,0.3416051798245487,0.7444269784320408,0.1762339144086161,Dynamic-Ped,R3,18
0.8922100326268215,0.1165953499102162,0.3142225145801948,0.3359596844494578,0.7339671057306288,0.16756147721394482,Dynamic-Ped,R3,19
0.9476405234596766,0.07400157208367221,0.4197873798410574,0.31240893199201464,0.8086755799014997,0.1902272212012359,Dynamic-Ped,R4,0
0.9462434536366324,0.06388243586349923,0.40471828247736547,0.2792703137784383,0.7986540762932468,0.17698461303119717,Dynamic-Ped,R4,1
0.9258324215259454,0.06943733172773668,0.3886380390433155,0.3064027080840499,0.7720656441480515,0.19158252634343798,Dynamic-Ped,R4,2
0.9478862847343033,0.07436509850511988,0.41096497468072013,0.27136507296635515,0.7872261179748561,0.19645241020731014,Dynamic-Ped,R4,3
0.9305056170714294,0.07499951333237827,0.4000409106889314,0.29693598508291313,0.7858169847997309,0.18415422764887876,Dynamic-Ped,R4,4
0.9344122748688505,0.0666912984810591,0.43430771187007783,0.28747907870396927,0.7910960984157819,0.21582481117061564,Dynamic-Ped,R4,5
0.9268821632651248,0.07729003923612501,0.41217820788076004,0.2810090820345286,0.7651321934837214,0.2091325152123589,Dynamic-Ped,R4,6
0.9469052570380037,0.06534062629459164,0.41032820163678585,0.2940751628299651,0.7821107697137426,0.2000206557290595,Dynamic-Ped,R4,7
0.9309120471661982,0.08091282733272108,0.3905302969097746,0.2761365046776306,0.7670350842579784,0.22409834303341541,Dynamic-Ped,R4,8
0.9300110855471222,0.067104559307498,0.39883933696935586,0.28987117243254207,0.7862163853579208,0.19518864637123098,Dynamic-Ped,R4,9
0.9433158650412953,0.07715278974398404,0.3945459970788873,0.2899161615007148,0.7962133597389048,0.19279914439281104,Dynamic-Ped,R4,10
0.9474945474130518,0.06713927003183703,0.4051543486777886,0.26346681440738523,0.7899171537062707,0.19680368636235704,Dynamic-Ped,R4,11
0.9347298583148999,0.06318574120560552,0.4124243949669048,0.27299264365961673,0.7975314283394921,0.18465278659791956,Dynamic-Ped,R4,12
0.9228760933794942,0.07753766378659702,0.4095549692166195,0.2945181233874579,0.8034510170845102,0.20532337888294547,Dynamic-Ped,R4,13
0.9455133911125306,0.07079186024608819,0.41173976528456174,0.2892766343383383,0.7699567059982781,0.20144677813190318,Dynamic-Ped,R4,14
0.9268767151845646,0.07339284706046181,0.4084409146611729,0.28498210326702256,0.7923556889172603,0.1823639474319579,Dynamic-Ped,R4,15
0.9312794872113395,0.05471526541174113,0.40405532019995366,0.29066330373745924,0.7776450512675936,0.19378631391537318,Dynamic-Ped,R4,16
0.9327626589002133,0.05145371921193492,0.4162390111132636,0.30145311289572096,0.8003719046822788,0.2188663892978161,Dynamic-Ped,R4,17
0.9307942844380621,0.09190202357414219,0.4086510785339173,0.2916051798245487,0.7944269784320408,0.20623391440861613,Dynamic-Ped,R4,18
0.9322100326268216,0.06659534991021618,0.4042225145801948,0.2859596844494578,0.7839671057306289,0.19756147721394485,Dynamic-Ped,R4,19
0.9576405234596765,0.0640015720836722,0.42978737984105736,0.30240893199201463,0.8286755799014998,0.21022722120123588,Dynamic-Ped,R5,0
0.9562434536366323,0.053882435863499216,0.4147182824773654,0.2692703137784383,0.8186540762932468,0.1969846130311972,Dynamic-Ped,R5,1
0.9358324215259453,0.05943733172773667,0.39863803904331546,0.2964027080840499,0.7920656441480515,0.21158252634343797,Dynamic-Ped,R5,2
